timestamp,dataset_group,dataset,n_file,n_corrupt,error_ratio,seed,pos_accept_rate,vel_accept_rate,pos_mahal_mean,pos_mahal_std,vel_mahal_mean,vel_mahal_std,pos_mahal_under_thresh,vel_mahal_under_thresh,mean_innov_pos,std_innov_pos,mean_innov_vel,std_innov_vel,mean_traceP,std_traceP
2025-11-15 10:46:09,road,oxts935,5,0,0.0,7081,1.0,0.9839743589743589,0.5300364946581196,1.0571832060827784,0.57826515092291,1.2159162562625425,1.0,1.0,0.5041944695532521,0.47737855395095724,0.09360981959475705,0.07769334924570244,0.8492772162310898,10.773433014548024
2025-11-15 10:47:08,road,oxts935,5,1,0.0,23034,1.0,0.9786324786324786,0.3973055299145299,1.054455401124631,0.5462310010917031,1.0736771258706415,1.0,1.0,0.41699991934270325,0.4322544034377444,0.09022020302805918,0.07449625796366902,0.8464440951043802,10.773239706065473
2025-11-15 10:48:05,road,oxts935,5,1,0.1,10965,0.8792735042735043,0.967948717948718,0.7815453462940462,2.143047944410511,0.7121748874172186,1.4171740544333777,1.0,1.0,0.5128649254702209,0.6677919131637378,0.10133310248998349,0.0871650815619235,0.8696558959806623,10.772365949114409
2025-11-15 10:49:03,road,oxts935,5,1,0.2,7922,0.7724358974358975,0.969017094017094,1.2685082406639006,2.865607500935506,0.9743665270121279,1.7789538477910392,1.0,1.0,0.7265737981435709,0.7872357806190474,0.1198980341306753,0.10186373183684766,0.8956100078402778,10.771757191524626
2025-11-15 10:50:00,road,oxts935,5,1,0.3,28718,0.6527777777777778,0.9594017094017094,1.6910133518821606,3.039338334596988,1.0666837873051225,1.906660719103207,1.0,1.0,0.8946794410603848,0.8513033253351648,0.12818269832319681,0.10315606531401786,0.9389985023883548,10.772206236591163
2025-11-15 10:50:58,road,oxts935,5,1,0.4,23202,0.561965811965812,0.9476495726495726,2.250018644486692,3.654804745517021,1.20734589740699,2.139879707265359,1.0,1.0,1.0637649719469546,0.9309770896765177,0.1373459682117603,0.10766645688877303,0.9717543341800214,10.770238077646729
2025-11-15 10:51:58,road,oxts935,5,1,0.5,18016,0.469017094017094,0.9188034188034188,2.9918050592255123,4.11582129061564,1.6400243372093024,2.610284544389899,1.0,1.0,1.2809241035153789,1.0146172376813447,0.16279095324448667,0.12287698273016244,1.0280641615391026,10.768939602085739
2025-11-15 10:52:57,road,oxts935,5,1,0.6,21846,0.3942307692307692,0.9487179487179487,3.5812028997289973,4.435517754562564,1.6044891666666667,2.338911076534586,1.0,1.0,1.416840251907412,1.0469113428610226,0.165642054066682,0.11571411749936432,1.0503217643160256,10.768792662919386
2025-11-15 10:53:55,road,oxts935,5,1,0.7,2397,0.32905982905982906,0.9455128205128205,4.893980801948052,4.715675742745776,1.968133523163842,2.756526952263599,1.0,1.0,1.7677342614194953,1.0662136131155162,0.1841042897746154,0.1294140101393666,1.1056838464568375,10.767300076896294
2025-11-15 10:54:53,road,oxts935,5,1,0.8,12252,0.050213675213675216,0.9220085470085471,5.944985617021276,4.689076994061669,2.2504491587485513,2.9605165407146417,1.0,1.0,1.8437383046317029,0.8473978739243357,0.19744006074481982,0.13303775277026453,1.8505769210992522,10.758349139057765
2025-11-15 10:55:51,road,oxts935,5,1,0.9,1816,0.11004273504273504,0.9145299145299145,6.7077154951456315,4.78436454038293,2.1143437207943925,2.7933330209773874,1.0,1.0,2.1193753414181256,0.9131265828122502,0.19147804775145427,0.12857596478217231,1.5287898723376068,10.76093371986814
2025-11-15 10:56:49,road,oxts935,5,1,1.0,1721,0.07905982905982906,0.8985042735042735,7.047589513513513,4.424339008763667,2.3955412901307964,3.0481212938023865,1.0,1.0,2.1501758717026314,0.8769105511002617,0.20586373218687115,0.1342597434214984,1.649341726171047,10.758675382074482
2025-11-15 10:57:55,road,oxts935,5,1,1.1,13042,0.06837606837606838,0.9198717948717948,8.649644265625,4.643401878469154,2.299826263646922,3.0087734400287927,1.0,1.0,2.3900905486215986,0.8320362616290734,0.2008859626404205,0.13381899188413096,1.7803391822426282,10.765091678103584
2025-11-15 10:59:02,road,oxts935,5,1,1.2,13188,0.09508547008547008,0.8803418803418803,7.323836258426967,4.666380075091623,2.4929188907766995,3.2324501975204996,1.0,1.0,2.171013197904316,0.8800502036671852,0.20771116682724794,0.1392760978674318,1.544060828990064,10.756920813359725
2025-11-15 11:00:05,road,oxts935,5,1,1.3,16765,0.07371794871794872,0.8771367521367521,6.475491420289854,4.692314891250647,2.471486902557856,3.20512975260427,1.0,1.0,1.9962525203245427,0.8768297749363126,0.20839790027896338,0.13723333159637402,2.3009208725663464,11.387305649770235
2025-11-15 11:01:09,road,oxts935,5,1,1.4,26662,0.08333333333333333,0.9230769230769231,8.010816615384616,4.892032886436916,2.23528484375,2.8238085209079875,1.0,1.0,2.302322864354638,0.9772279678134018,0.19984466745392396,0.1283502386826651,1.6567316908044871,10.764017938832652
2025-11-15 11:02:08,road,oxts935,5,1,1.5,30983,0.04487179487179487,0.8322649572649573,8.644559166666667,4.9069039954491736,2.58719175224647,3.2021059233419464,1.0,1.0,2.2455093936160218,0.9643469800203307,0.21333267265437314,0.13711370627731245,5.466036274608441,14.102661154780984
2025-11-15 11:03:07,road,oxts935,5,1,1.6,8128,0.09081196581196581,0.9113247863247863,8.652952494117647,4.853111740377881,2.4726731617819464,3.076101613299277,1.0,1.0,2.43862663228033,0.8769090342561546,0.21033637976305922,0.13712630681985483,1.5406123574220085,10.753077292317593
