timestamp,dataset_group,dataset,n_file,n_corrupt,error_ratio,seed,pos_accept_rate,vel_accept_rate,pos_mahal_mean,pos_mahal_std,vel_mahal_mean,vel_mahal_std,pos_mahal_under_thresh,vel_mahal_under_thresh,mean_innov_pos,std_innov_pos,mean_innov_vel,std_innov_vel,mean_traceP,std_traceP
2025-11-15 10:46:05,city,oxts446,5,0,0.0,7081,1.0,1.0,0.08198268232662193,0.1814975841738127,0.13169149440715883,0.1746251101392563,1.0,1.0,0.19269679031137257,0.19359741571289665,0.04551650363085807,0.03437329949833088,1.242786815695302,15.58659326850126
2025-11-15 10:47:05,city,oxts446,5,1,0.0,23034,1.0,1.0,0.08645042729306489,0.19723289503331554,0.18231888143176736,0.22560947021061548,1.0,1.0,0.2017446735890426,0.20064385693115433,0.05530261747563645,0.03841891167901304,1.2534399489959733,15.588132265441997
2025-11-15 10:48:02,city,oxts446,5,1,0.1,10965,0.9552572706935123,0.9910514541387024,0.41349584543325524,1.568029633722411,0.4003232844243792,1.3014760449975695,1.0,1.0,0.32769668458331513,0.5087797166201544,0.067298349228202,0.07385612636054718,1.263848944679418,15.587621971308822
2025-11-15 10:49:00,city,oxts446,5,1,0.2,7922,0.9239373601789709,0.9821029082774049,1.059529828087167,2.7364445898033782,0.5457588359908884,1.4752306667530688,1.0,1.0,0.5962280719609485,0.76785253220331,0.08088242394462877,0.08391388267681366,1.2716838313610737,15.585659748494654
2025-11-15 10:49:58,city,oxts446,5,1,0.3,28718,0.9038031319910514,0.9776286353467561,1.7101926212871288,3.2343284209078424,0.8244984347826085,1.862705438885733,1.0,1.0,0.8681397170575729,0.8871565422727177,0.10423354429651353,0.10002454368361144,1.280322193297763,15.58678699505325
2025-11-15 10:50:56,city,oxts446,5,1,0.4,23202,0.854586129753915,0.9574944071588367,1.8310647356020942,3.0272306917108205,0.9962247640186915,2.0368930889734407,1.0,1.0,0.9529479689920725,0.8628500278032718,0.11827943726084064,0.10493954205012702,1.3057772325729307,15.587916267931906
2025-11-15 10:51:55,city,oxts446,5,1,0.5,18016,0.7986577181208053,0.9552572706935123,2.5069566050420167,3.3717978985764923,1.3306861615925059,2.485987989325657,1.0,1.0,1.1905528124258042,0.9138285949244039,0.14036478426278015,0.11851273344418381,1.3191118930684564,15.585694950475968
2025-11-15 10:52:54,city,oxts446,5,1,0.6,21846,0.7762863534675615,0.9619686800894854,3.3073938847262245,3.7788267730527583,1.4929997813953488,2.3242972244898574,1.0,1.0,1.440065329300431,0.9522911133269533,0.15628546222300424,0.1169295321570286,1.315000305039374,15.585088057170378
2025-11-15 10:53:52,city,oxts446,5,1,0.7,2397,0.7136465324384788,0.9373601789709173,3.737928724137931,4.2019300559404416,2.1754834224343678,3.2889497854610426,1.0,1.0,1.540004842860201,1.027667745593474,0.18904850439911744,0.142526427806238,1.3592951467020133,15.585452352615986
2025-11-15 10:54:50,city,oxts446,5,1,0.8,12252,0.6935123042505593,0.9261744966442953,4.869491329032258,4.227611032582989,2.1540067729468597,3.066832598171158,1.0,1.0,1.866079331194364,0.9833752685677317,0.1927115233798312,0.13592283709414213,1.4403656296505594,15.592768897205278
2025-11-15 10:55:48,city,oxts446,5,1,0.9,1816,0.6577181208053692,0.9217002237136466,5.2058977278911565,4.455696926650545,2.32823486407767,3.049286387505383,1.0,1.0,1.955064796317208,0.9987874401173765,0.20563488004678698,0.13563361019314002,1.3700506788789708,15.58240418482237
2025-11-15 10:56:46,city,oxts446,5,1,1.0,1721,0.639821029082774,0.9194630872483222,5.476695905594405,4.304251240411363,2.744817476885645,3.1499988343559417,1.0,1.0,2.0354715476163268,0.9318734417723618,0.22866828741809953,0.13717652371140196,1.4049589146630874,15.583306348233732
2025-11-15 10:57:51,city,oxts446,5,1,1.1,13042,0.6196868008948546,0.9530201342281879,5.758459736462094,4.426338209835548,2.4781811948356802,2.9890971397440835,1.0,1.0,2.084204023068467,0.9732688143048904,0.2176686573726397,0.13350660485679747,1.4190085016154361,15.583934643739198
2025-11-15 10:58:59,city,oxts446,5,1,1.2,13188,0.6331096196868009,0.9373601789709173,5.874608402826855,4.390401455596443,2.472411062052506,3.1223759459141296,1.0,1.0,2.1245935048903055,0.9453174952857132,0.2145943865785257,0.13735533509670933,1.4040136412876953,15.585436373005056
2025-11-15 11:00:02,city,oxts446,5,1,1.3,16765,0.6174496644295302,0.9194630872483222,5.783476188405797,4.377194718823705,2.495065807785888,3.213523945300654,1.0,1.0,2.1077349025231236,0.95955633396426,0.21549982110329505,0.13986543953672093,1.4171494117404924,15.584975405793552
2025-11-15 11:01:06,city,oxts446,5,1,1.4,26662,0.6823266219239373,0.9082774049217002,5.863320783606557,4.476168309122552,2.4530157192118223,3.0818537699567186,1.0,1.0,2.122205108935508,0.973855869625359,0.21484546768596963,0.13501673864147068,1.384863409996868,15.583111377232624
2025-11-15 11:02:05,city,oxts446,5,1,1.5,30983,0.6174496644295302,0.9351230425055929,5.833288637681159,4.513976416111813,2.832661196172249,3.477133158527902,1.0,1.0,2.109324615246484,0.9820118795790943,0.23085527238133366,0.14771931914552128,1.4040463249939599,15.58314583211085
2025-11-15 11:03:05,city,oxts446,5,1,1.6,8128,0.6465324384787472,0.9261744966442953,5.558582442906575,4.344095095233131,2.3525111787439617,3.0914182696340924,1.0,1.0,2.0563376821139587,0.9179949593210912,0.20693954546843832,0.13684147880005593,1.3916933017098432,15.582724726958862
